grantee,table_name,privilege_type
postgres,ab_tests,DELETE
postgres,ab_tests,INSERT
postgres,ab_tests,REFERENCES
postgres,ab_tests,SELECT
postgres,ab_tests,TRIGGER
postgres,ab_tests,TRUNCATE
postgres,ab_tests,UPDATE
postgres,audit_logs,DELETE
postgres,audit_logs,INSERT
postgres,audit_logs,REFERENCES
postgres,audit_logs,SELECT
postgres,audit_logs,TRIGGER
postgres,audit_logs,TRUNCATE
postgres,audit_logs,UPDATE
postgres,campaign_steps,DELETE
postgres,campaign_steps,INSERT
postgres,campaign_steps,REFERENCES
postgres,campaign_steps,SELECT
postgres,campaign_steps,TRIGGER
postgres,campaign_steps,TRUNCATE
postgres,campaign_steps,UPDATE
postgres,campaigns,DELETE
postgres,campaigns,INSERT
postgres,campaigns,REFERENCES
postgres,campaigns,SELECT
postgres,campaigns,TRIGGER
postgres,campaigns,TRUNCATE
postgres,campaigns,UPDATE
postgres,client_portal_documents,DELETE
postgres,client_portal_documents,INSERT
postgres,client_portal_documents,REFERENCES
postgres,client_portal_documents,SELECT
postgres,client_portal_documents,TRIGGER
postgres,client_portal_documents,TRUNCATE
postgres,client_portal_documents,UPDATE
postgres,client_portal_invitations,DELETE
postgres,client_portal_invitations,INSERT
postgres,client_portal_invitations,REFERENCES
postgres,client_portal_invitations,SELECT
postgres,client_portal_invitations,TRIGGER
postgres,client_portal_invitations,TRUNCATE
postgres,client_portal_invitations,UPDATE
postgres,client_portal_memberships,DELETE
postgres,client_portal_memberships,INSERT
postgres,client_portal_memberships,REFERENCES
postgres,client_portal_memberships,SELECT
postgres,client_portal_memberships,TRIGGER
postgres,client_portal_memberships,TRUNCATE
postgres,client_portal_memberships,UPDATE
postgres,clients,DELETE
postgres,clients,INSERT
postgres,clients,REFERENCES
postgres,clients,SELECT
postgres,clients,TRIGGER
postgres,clients,TRUNCATE
postgres,clients,UPDATE
postgres,companies,DELETE
postgres,companies,INSERT
postgres,companies,REFERENCES
postgres,companies,SELECT
postgres,companies,TRIGGER
postgres,companies,TRUNCATE
postgres,companies,UPDATE
postgres,contacts,DELETE
postgres,contacts,INSERT
postgres,contacts,REFERENCES
postgres,contacts,SELECT
postgres,contacts,TRIGGER
postgres,contacts,TRUNCATE
postgres,contacts,UPDATE
postgres,crm_clients,DELETE
postgres,crm_clients,INSERT
postgres,crm_clients,REFERENCES
postgres,crm_clients,SELECT
postgres,crm_clients,TRIGGER
postgres,crm_clients,TRUNCATE
postgres,crm_clients,UPDATE
postgres,crm_leads,DELETE
postgres,crm_leads,INSERT
postgres,crm_leads,REFERENCES
postgres,crm_leads,SELECT
postgres,crm_leads,TRIGGER
postgres,crm_leads,TRUNCATE
postgres,crm_leads,UPDATE
postgres,crm_projects,DELETE
postgres,crm_projects,INSERT
postgres,crm_projects,REFERENCES
postgres,crm_projects,SELECT
postgres,crm_projects,TRIGGER
postgres,crm_projects,TRUNCATE
postgres,crm_projects,UPDATE
postgres,crm_tasks,DELETE
postgres,crm_tasks,INSERT
postgres,crm_tasks,REFERENCES
postgres,crm_tasks,SELECT
postgres,crm_tasks,TRIGGER
postgres,crm_tasks,TRUNCATE
postgres,crm_tasks,UPDATE
postgres,email_verification_tokens,DELETE
postgres,email_verification_tokens,INSERT
postgres,email_verification_tokens,REFERENCES
postgres,email_verification_tokens,SELECT
postgres,email_verification_tokens,TRIGGER
postgres,email_verification_tokens,TRUNCATE
postgres,email_verification_tokens,UPDATE
postgres,events,DELETE
postgres,events,INSERT
postgres,events,REFERENCES
postgres,events,SELECT
postgres,events,TRIGGER
postgres,events,TRUNCATE
postgres,events,UPDATE
postgres,leads,DELETE
postgres,leads,INSERT
postgres,leads,REFERENCES
postgres,leads,SELECT
postgres,leads,TRIGGER
postgres,leads,TRUNCATE
postgres,leads,UPDATE
postgres,linkedin_actions,DELETE
postgres,linkedin_actions,INSERT
postgres,linkedin_actions,REFERENCES
postgres,linkedin_actions,SELECT
postgres,linkedin_actions,TRIGGER
postgres,linkedin_actions,TRUNCATE
postgres,linkedin_actions,UPDATE
postgres,messages,DELETE
postgres,messages,INSERT
postgres,messages,REFERENCES
postgres,messages,SELECT
postgres,messages,TRIGGER
postgres,messages,TRUNCATE
postgres,messages,UPDATE
postgres,notifications,DELETE
postgres,notifications,INSERT
postgres,notifications,REFERENCES
postgres,notifications,SELECT
postgres,notifications,TRIGGER
postgres,notifications,TRUNCATE
postgres,notifications,UPDATE
postgres,outreach_log,DELETE
postgres,outreach_log,INSERT
postgres,outreach_log,REFERENCES
postgres,outreach_log,SELECT
postgres,outreach_log,TRIGGER
postgres,outreach_log,TRUNCATE
postgres,outreach_log,UPDATE
postgres,password_history,DELETE
postgres,password_history,INSERT
postgres,password_history,REFERENCES
postgres,password_history,SELECT
postgres,password_history,TRIGGER
postgres,password_history,TRUNCATE
postgres,password_history,UPDATE
postgres,password_resets,DELETE
postgres,password_resets,INSERT
postgres,password_resets,REFERENCES
postgres,password_resets,SELECT
postgres,password_resets,TRIGGER
postgres,password_resets,TRUNCATE
postgres,password_resets,UPDATE
postgres,prospects,DELETE
postgres,prospects,INSERT
postgres,prospects,REFERENCES
postgres,prospects,SELECT
postgres,prospects,TRIGGER
postgres,prospects,TRUNCATE
postgres,prospects,UPDATE
postgres,refresh_tokens,DELETE
postgres,refresh_tokens,INSERT
postgres,refresh_tokens,REFERENCES
postgres,refresh_tokens,SELECT
postgres,refresh_tokens,TRIGGER
postgres,refresh_tokens,TRUNCATE
postgres,refresh_tokens,UPDATE
postgres,scheduled_jobs,DELETE
postgres,scheduled_jobs,INSERT
postgres,scheduled_jobs,REFERENCES
postgres,scheduled_jobs,SELECT
postgres,scheduled_jobs,TRIGGER
postgres,scheduled_jobs,TRUNCATE
postgres,scheduled_jobs,UPDATE
postgres,sessions,DELETE
postgres,sessions,INSERT
postgres,sessions,REFERENCES
postgres,sessions,SELECT
postgres,sessions,TRIGGER
postgres,sessions,TRUNCATE
postgres,sessions,UPDATE
postgres,suppression,DELETE
postgres,suppression,INSERT
postgres,suppression,REFERENCES
postgres,suppression,SELECT
postgres,suppression,TRIGGER
postgres,suppression,TRUNCATE
postgres,suppression,UPDATE
postgres,users,DELETE
postgres,users,INSERT
postgres,users,REFERENCES
postgres,users,SELECT
postgres,users,TRIGGER
postgres,users,TRUNCATE
postgres,users,UPDATE
postgres,webhook_events,DELETE
postgres,webhook_events,INSERT
postgres,webhook_events,REFERENCES
postgres,webhook_events,SELECT
postgres,webhook_events,TRIGGER
postgres,webhook_events,TRUNCATE
postgres,webhook_events,UPDATE
service_role,audit_logs,INSERT
service_role,audit_logs,SELECT
service_role,campaigns,INSERT
service_role,campaigns,SELECT
service_role,client_portal_documents,SELECT
service_role,client_portal_documents,UPDATE
service_role,client_portal_memberships,SELECT
service_role,clients,SELECT
service_role,companies,DELETE
service_role,companies,INSERT
service_role,companies,SELECT
service_role,companies,UPDATE
service_role,contacts,DELETE
service_role,contacts,INSERT
service_role,contacts,SELECT
service_role,contacts,UPDATE
service_role,crm_clients,DELETE
service_role,crm_clients,INSERT
service_role,crm_clients,SELECT
service_role,crm_clients,UPDATE
service_role,crm_leads,DELETE
service_role,crm_leads,INSERT
service_role,crm_leads,SELECT
service_role,crm_leads,UPDATE
service_role,crm_projects,DELETE
service_role,crm_projects,INSERT
service_role,crm_projects,SELECT
service_role,crm_projects,UPDATE
service_role,crm_tasks,DELETE
service_role,crm_tasks,INSERT
service_role,crm_tasks,SELECT
service_role,crm_tasks,UPDATE
service_role,email_verification_tokens,INSERT
service_role,email_verification_tokens,SELECT
service_role,email_verification_tokens,UPDATE
service_role,events,INSERT
service_role,events,SELECT
service_role,leads,INSERT
service_role,leads,SELECT
service_role,leads,UPDATE
service_role,linkedin_actions,INSERT
service_role,linkedin_actions,SELECT
service_role,messages,INSERT
service_role,messages,SELECT
service_role,password_history,INSERT
service_role,password_history,SELECT
service_role,password_resets,INSERT
service_role,password_resets,SELECT
service_role,password_resets,UPDATE
service_role,prospects,INSERT
service_role,prospects,SELECT
service_role,prospects,UPDATE
service_role,refresh_tokens,INSERT
service_role,refresh_tokens,SELECT
service_role,refresh_tokens,UPDATE
service_role,sessions,INSERT
service_role,sessions,SELECT
service_role,sessions,UPDATE
service_role,suppression,INSERT
service_role,suppression,SELECT
service_role,suppression,UPDATE
service_role,users,INSERT
service_role,users,SELECT
service_role,users,UPDATE
service_role,webhook_events,INSERT
service_role,webhook_events,SELECT
